date_key,full_date,year,month,quarter,day_of_week,is_weekend,month_name
1,2023-01-01,2023,1,1,6,True,Jan
2,2023-01-02,2023,1,1,0,False,Jan
3,2023-01-03,2023,1,1,1,False,Jan
4,2023-01-04,2023,1,1,2,False,Jan
5,2023-01-05,2023,1,1,3,False,Jan
6,2023-01-06,2023,1,1,4,False,Jan
7,2023-01-07,2023,1,1,5,True,Jan
8,2023-01-08,2023,1,1,6,True,Jan
9,2023-01-09,2023,1,1,0,False,Jan
10,2023-01-10,2023,1,1,1,False,Jan
11,2023-01-11,2023,1,1,2,False,Jan
12,2023-01-12,2023,1,1,3,False,Jan
13,2023-01-13,2023,1,1,4,False,Jan
14,2023-01-14,2023,1,1,5,True,Jan
15,2023-01-15,2023,1,1,6,True,Jan
16,2023-01-16,2023,1,1,0,False,Jan
17,2023-01-17,2023,1,1,1,False,Jan
18,2023-01-18,2023,1,1,2,False,Jan
19,2023-01-19,2023,1,1,3,False,Jan
20,2023-01-20,2023,1,1,4,False,Jan
21,2023-01-21,2023,1,1,5,True,Jan
22,2023-01-22,2023,1,1,6,True,Jan
23,2023-01-23,2023,1,1,0,False,Jan
24,2023-01-24,2023,1,1,1,False,Jan
25,2023-01-25,2023,1,1,2,False,Jan
26,2023-01-26,2023,1,1,3,False,Jan
27,2023-01-27,2023,1,1,4,False,Jan
28,2023-01-28,2023,1,1,5,True,Jan
29,2023-01-29,2023,1,1,6,True,Jan
30,2023-01-30,2023,1,1,0,False,Jan
31,2023-01-31,2023,1,1,1,False,Jan
32,2023-02-01,2023,2,1,2,False,Feb
33,2023-02-02,2023,2,1,3,False,Feb
34,2023-02-03,2023,2,1,4,False,Feb
35,2023-02-04,2023,2,1,5,True,Feb
36,2023-02-05,2023,2,1,6,True,Feb
37,2023-02-06,2023,2,1,0,False,Feb
38,2023-02-07,2023,2,1,1,False,Feb
39,2023-02-08,2023,2,1,2,False,Feb
40,2023-02-09,2023,2,1,3,False,Feb
41,2023-02-10,2023,2,1,4,False,Feb
42,2023-02-11,2023,2,1,5,True,Feb
43,2023-02-12,2023,2,1,6,True,Feb
44,2023-02-13,2023,2,1,0,False,Feb
45,2023-02-14,2023,2,1,1,False,Feb
46,2023-02-15,2023,2,1,2,False,Feb
47,2023-02-16,2023,2,1,3,False,Feb
48,2023-02-17,2023,2,1,4,False,Feb
49,2023-02-18,2023,2,1,5,True,Feb
50,2023-02-19,2023,2,1,6,True,Feb
51,2023-02-20,2023,2,1,0,False,Feb
52,2023-02-21,2023,2,1,1,False,Feb
53,2023-02-22,2023,2,1,2,False,Feb
54,2023-02-23,2023,2,1,3,False,Feb
55,2023-02-24,2023,2,1,4,False,Feb
